<<<<<<< HEAD
CLIENTE,CODIGO,PRODUCTO,CANTIDAD,PRECIO
O.S. PERSONAL DE MAESTRANZA,041084510,3TC 150 CM 60,1.00,333.360
O.S. PERSONAL DE MAESTRANZA,042148810,STAMAR 40 CP 60,1.00,423.300
O.S. PERSONAL DE MAESTRANZA,041966510,VIRAMUNE CM 100,1.00,666.710
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S. PERSONAL DE MAESTRANZA,044081810,3TC COMPLEX CM 60,1.00,645.590
O.S.D.I.C.,041084510,3TC 150 CM 60,1.00,333.360
=======
CODIGO,PRODUCTO,CLIENTE,CANTIDAD,PRECIO
20100,ALIVIOL 3000,FARMACIA NUEVA CHINGOLO,6,"$5,00"
20101,CLONAPLEX 400 X12,LONGCHAMPS MEDICAL CENTER,2,"$6,00"
20102,PARAMITOL 2MG FRASX20,CLIENTE PARTICULAR 00,1,"$7,00"
20103,RESACAL X2,CENTRO DE CUIDADOS VILLA URQUIZA,2,"$8,00"
20104,PARACETAMOL,FARMA IFT,3,"$9,00"
20105,ASPIRINA,FARMA CENTRO,4,"$10,00"
20106,DICLOFENAC,FARMA OESTE,5,"$11,00"
20107,PARACETAMOL,FARMACIA NUEVA CHINGOLO,2,"$12,00"
20108,ASPIRINA,CLIENTE PARTICULAR 02,1,"$13,00"
20109,RESACAL X2,CENTRO DE CUIDADOS VILLA URQUIZA,2,"$14,00"
20110,FOCUSIN,FARMA CENTRO,6,"$15,00"
20111,ALIVIOL 3000,LONGCHAMPS MEDICAL CENTER,4,"$16,00"
20112,CLONAPLEX 400 X12,FARMACIA NUEVA CHINGOLO,2,"$17,00"
20113,PARAMITOL 2MG FRASX20,CLIENTE PARTICULAR 00,1,"$18,00"
20114,RESACAL X2,CLIENTE PARTICULAR 00,2,"$19,00"
20115,PARACETAMOL,FARMA IFT,3,"$20,00"
20116,ASPIRINA,FARMA OESTE,4,"$21,00"
20117,DICLOFENAC,FARMA CENTRO,5,"$22,00"
20118,PARACETAMOL,LONGCHAMPS MEDICAL CENTER,8,"$23,00"
20119,ASPIRINA,FARMACIA NUEVA CHINGOLO,20,"$24,00"
20120,RESACAL X2,CLIENTE PARTICULAR 00,2,"$25,00"
20121,FOCUSIN,CLIENTE PARTICULAR 00,1,"$26,00"
20122,ALIVIOL 3000,FARMA IFT,2,"$27,00"
20123,CLONAPLEX 400 X12,FARMA CENTRO,3,"$28,00"
20124,PARAMITOL 2MG FRASX20,FARMA OESTE,4,"$29,00"
20125,RESACAL X2,FARMACIA NUEVA CHINGOLO,5,"$30,00"
20126,PARACETAMOL,CLIENTE PARTICULAR 02,6,"$31,00"
20127,ASPIRINA,CENTRO DE CUIDADOS VILLA URQUIZA,8,"$32,00"
>>>>>>> f33a877b420e3389939c0f8ab7894dee948a5b95
